"";"X";"id";"first_name";"second_name";"name";"singular_name";"form";"selected_by_percent";"total_points";"goals_scored";"assists";"clean_sheets";"transfers_in_event";"transfers_out_event";"event_points";"points_per_game";"goals_conceded";"yellow_cards";"red_cards";"saves";"bonus";"bps";"influence";"creativity";"threat";"ict_index";"value_form";"value_season";"news";"now_cost";"ep_this";"ep_next";"chance_of_playing_this_round";"in_dreamteam";"dreamteam_count";"minutes";"element_type";"team_code"
"115";115;491;"Ben";"Gibson";"Burnley";"Defender";0;0,1;6;1;0;0;13;38;0;6;3;1;0;0;0;17;42,4;0,4;33;7,6;0;1,3;"";4,8;0;0;0;FALSE;0;62;2;90
"116";116;495;"Matej";"Vydra";"Burnley";"Forward";1,2;0;19;1;1;0;23;37;1;1,7;7;1;0;0;0;55;69,4;33,3;112;21,2;0,2;3,4;"";5,6;1,2;1,2;100;FALSE;0;274;4;90
"117";117;534;"Dwight";"McNeil";"Burnley";"Midfielder";3,6;0,5;49;2;3;3;2217;958;8;3,5;19;1;0;0;2;207;273,4;290,4;232;79,4;0,8;11,1;"";4,4;3,6;3,6;NA;FALSE;0;1060;3;90
"118";118;564;"Abd-Al-Ali Morakinyo Olaposi";"Koiki";"Burnley";"Defender";0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Season-long loan to Swindon Town";4;0;0;0;FALSE;0;0;2;90
"119";119;583;"Josh";"Benson";"Burnley";"Midfielder";0;0;0;0;0;0;9;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";4,5;0;0;NA;FALSE;0;0;3;90
"120";120;590;"Peter";"Crouch";"Burnley";"Forward";0,6;1,3;7;0;1;0;3739;4074;1;1,4;2;1;0;0;0;21;7,4;1,3;87;9,4;0,1;1,6;"";4,5;0,6;0,6;NA;FALSE;0;73;4;90
"121";121;33;"Harry";"Arter";"Cardiff";"Midfielder";1;0,2;42;0;0;6;19;26;0;1,8;38;8;0;0;0;200;180,8;151,2;143;47,6;0,2;8,6;"";4,9;0;-0,5;100;FALSE;0;1840;3;97
"122";122;88;"Neil";"Etheridge";"Cardiff";"Goalkeeper";2,5;11,5;123;0;0;8;2571;10220;0;4,1;57;2;0;104;16;603;862,8;10;0;87,1;0,5;26,2;"";4,7;0;2,5;NA;FALSE;3;2700;1;97
"123";123;89;"Alex";"Smithies";"Cardiff";"Goalkeeper";0;0,1;0;0;0;0;16;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";4,2;0;-2,5;NA;FALSE;0;0;1;97
"124";124;90;"Sean";"Morrison";"Cardiff";"Defender";1,5;0,3;70;0;4;7;136;128;0;2,7;51;5;0;0;2;369;470;195,2;428;109,5;0,3;14,9;"";4,7;0;0,5;100;FALSE;0;2319;2;97
"125";125;91;"Sol";"Bamba";"Cardiff";"Defender";1,5;2,6;95;4;1;7;74;11810;0;3,4;52;7;0;0;11;459;787;51,4;304;114,2;0,3;20,7;"Knee injury - Unknown return date";4,6;0;0;0;FALSE;1;2475;2;97
"126";126;92;"Bruno";"Ecuele Manga";"Cardiff";"Defender";2;0,4;76;0;1;8;680;445;0;2,5;55;0;0;0;2;454;519,4;103,9;124;75;0,5;17,3;"";4,4;0;1,5;NA;FALSE;0;2655;2;97
"127";127;93;"Matthew";"Connolly";"Cardiff";"Defender";0;3,2;0;0;0;0;4951;2241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";3,8;0;-2,5;NA;FALSE;0;0;2;97
"128";128;94;"Joe";"Bennett";"Cardiff";"Defender";2;0,4;61;0;1;7;14;247;0;2,8;38;2;0;0;4;327;345,2;214,4;55;61,5;0,5;13,9;"Hamstring injury - 75% chance of playing";4,4;0;1,1;75;FALSE;0;1919;2;97
"129";129;95;"Lee";"Peltier";"Cardiff";"Defender";1,8;4;26;0;0;3;5122;2547;0;2,2;14;2;0;0;1;130;154,2;25;6;18,6;0,5;6,7;"";3,9;0;1,1;100;FALSE;1;822;2;97
"130";130;96;"Ashley Darel Jazz";"Richards";"Cardiff";"Defender";0;0,5;1;0;0;0;308;227;0;0,3;4;0;0;0;0;11;12,2;1,5;0;1,5;0;0,3;"";3,9;0;-2,5;100;FALSE;0;97;2;97
"131";131;97;"Greg";"Halford";"Cardiff";"Defender";0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Contract expired";4;0;0;0;FALSE;0;0;2;97
"132";132;98;"Joe";"Ralls";"Cardiff";"Midfielder";1,3;0,1;38;0;0;4;12;14;0;1,6;35;3;1;0;0;191;232,6;439,7;174;84,4;0,3;8,3;"";4,6;0;0,1;100;FALSE;0;1686;3;97
"133";133;99;"David Junior";"Hoilett";"Cardiff";"Midfielder";3,5;0,1;64;3;1;5;79;91;0;2,7;38;4;0;0;4;168;215;212,9;325;74,6;0,7;12,8;"";5;0;4,5;100;FALSE;1;1600;3;97
"134";134;100;"Nathaniel";"Mendez-Laing";"Cardiff";"Midfielder";0,8;0;25;1;0;2;6;15;0;2,1;10;0;0;0;1;99;123,6;99,7;140;36,5;0,2;5,2;"";4,8;0;-0,2;25;FALSE;0;502;3;97
"135";135;101;"Callum";"Paterson";"Cardiff";"Midfielder";1;0,6;80;4;2;5;126;865;0;3;41;4;0;0;4;227;266,8;311,9;541;111,7;0,2;16,3;"";4,9;0;-0,5;100;FALSE;1;1993;3;97
"136";136;102;"Aron";"Gunnarsson";"Cardiff";"Midfielder";1,8;0,8;53;1;1;6;251;700;0;2,6;28;3;0;0;3;222;293,8;167,4;184;64,5;0,4;12;"";4,4;0;1,1;100;FALSE;1;1629;3;97
"137";137;103;"Anthony";"Pilkington";"Cardiff";"Midfielder";0;0,1;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Not in Squad";4,4;0;0;0;FALSE;0;0;3;97
"138";138;104;"Loïc";"Damour";"Cardiff";"Midfielder";0;0,1;2;0;0;0;40;36;0;1;2;0;0;0;0;6;0,6;1;8;0,9;0;0,5;"";4,3;0;-2,5;NA;FALSE;0;21;3;97
"139";139;105;"Danny";"Ward";"Cardiff";"Midfielder";0,3;0,2;19;1;0;0;57;91;0;1,7;11;0;0;0;0;58;60,2;56,7;69;18,3;0,1;4,4;"";4,3;0;-1,9;100;FALSE;0;331;3;97
"140";140;106;"Josh";"Murphy";"Cardiff";"Midfielder";2,3;0,2;63;3;1;6;38;141;0;2,7;24;1;0;0;3;142;230;186,6;470;87,9;0,5;13,1;"";4,8;0;2,1;100;FALSE;0;1396;3;97
"141";141;107;"Kenneth";"Zohore";"Cardiff";"Forward";1,3;0,6;25;1;1;1;670;1323;0;1,9;15;1;0;0;2;66;85,2;109,8;239;43,4;0,3;5,4;"";4,6;0;0,1;100;FALSE;0;528;4;97
"142";142;108;"Omar";"Bogle";"Cardiff";"Forward";0;0,1;0;0;0;0;8;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Season-long loan to Birmingham City";4,5;0;0;0;FALSE;0;0;4;97
"143";143;109;"Gary";"Madine";"Cardiff";"Forward";0;0,9;5;0;0;0;164;348;0;1;3;0;0;0;0;13;2;1,5;8;1;0;1,1;"Joined Sheffield United on loan for the rest of the season on 7/1. - Expected back 30 Jun";4,4;0;0;0;FALSE;0;32;4;97
"144";144;110;"Bobby";"Reid";"Cardiff";"Forward";0,8;1,1;67;4;3;3;800;2570;0;3;26;0;0;0;7;224;246,2;176,3;305;72,3;0,2;12,9;"";5,2;0;-0,9;NA;FALSE;2;1214;4;97
"145";145;176;"Oumar";"Niasse";"Cardiff";"Forward";1,5;0,4;19;0;0;3;338;455;0;1,6;8;0;0;0;0;14;45,6;67,9;243;35,5;0,3;3,8;"";5;0;0,5;100;FALSE;0;592;4;97
"146";146;467;"Greg";"Cunninghamm";"Cardiff";"Defender";0;0;9;0;0;1;28;17;0;1,3;17;3;0;0;0;72;106,4;69,7;19;19,6;0;2,2;"";4,1;0;-2,5;100;FALSE;0;630;2;97
"147";147;504;"Víctor";"Camarasa";"Cardiff";"Midfielder";2,5;1,9;83;4;3;7;2478;2524;0;3,3;45;5;0;0;4;317;433,4;665,3;321;142,1;0,6;18,4;"";4,5;0;2,5;100;FALSE;1;2046;3;97
"148";148;535;"Kadeem";"Harris";"Cardiff";"Midfielder";0;0;23;1;1;1;9;8;0;1,9;6;1;0;0;0;77;85,2;87,7;87;26;0;5,1;"";4,5;0;-2,5;100;FALSE;0;355;3;97
"149";149;537;"Brian";"Murphy";"Cardiff";"Goalkeeper";0;0,2;0;0;0;0;40;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";4;0;-2,5;NA;FALSE;0;0;1;97
"150";150;573;"Rhys";"Healey";"Cardiff";"Forward";0,3;0,1;2;0;0;0;194;216;0;1;0;0;0;0;0;4;1,2;0,6;2;0,4;0,1;0,4;"";4,5;0;-1,9;NA;FALSE;0;31;4;97
"151";151;589;"Leandro";"Bacuna";"Cardiff";"Defender";0,3;0;3;0;0;0;18;14;0;0,6;9;1;0;0;0;29;38;15,7;18;7,1;0,1;0,7;"";4,4;0;-1,9;NA;FALSE;0;240;2;97
"152";152;111;"Thibaut";"Courtois";"Chelsea";"Goalkeeper";0;0,5;0;0;0;0;1;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Transferred to Real Madrid";5,5;0;0;0;FALSE;0;0;1;8
"153";153;112;"Willy";"Caballero";"Chelsea";"Goalkeeper";1,5;0,2;6;0;0;1;42;291;0;6;0;0;0;0;0;19;3,6;0;0;0,4;0,3;1,3;"";4,7;2;5;NA;FALSE;0;90;1;8
"154";154;113;"César";"Azpilicueta";"Chelsea";"Defender";5,3;9,5;119;0;5;12;9879;5903;1;4;33;1;0;0;8;648;630;451,4;174;126;0,8;18,9;"";6,3;5,8;12,6;NA;FALSE;1;2700;2;8
"155";155;114;"Gary";"Cahill";"Chelsea";"Defender";0;0,5;1;0;0;0;46;53;0;1;0;0;0;0;0;3;2,8;0;0;0,3;0;0,2;"";5;0,5;2;100;FALSE;0;21;2;8
"156";156;115;"Marcos";"Alonso";"Chelsea";"Defender";2,3;26,7;134;1;7;12;8347;19943;0;5;26;6;0;0;19;594;505,2;433,6;410;135,1;0,4;20,9;"";6,4;2,8;6,6;NA;TRUE;3;2399;2;8
"157";157;116;"David";"Luiz Moreira Marinho";"Chelsea";"Defender";2;13,8;125;2;2;12;19749;13821;1;4,5;30;3;0;0;16;625;669,4;294;273;123,5;0,3;21,2;"";5,9;2,5;6;100;FALSE;3;2520;2;8
"158";158;117;"Victor";"Moses";"Chelsea";"Defender";0;1,3;2;0;0;0;2;105;0;1;1;0;0;0;0;3;1,2;12,7;6;2;0;0,4;"Season-long loan to Fenerbahce ";5,5;0;0;0;FALSE;0;26;2;8
"159";159;118;"Antonio";"Rüdiger";"Chelsea";"Defender";2,3;3,6;101;1;1;11;2587;2276;0;3,5;33;6;0;0;7;547;514,6;139,6;265;92,1;0,4;17,1;"";5,9;2,8;6,6;100;FALSE;1;2588;2;8
"160";160;119;"Andreas";"Christensen";"Chelsea";"Defender";0,5;0,4;8;0;0;1;52;85;0;2,7;3;1;0;0;0;56;56;3,9;0;6;0,1;1,6;"";5;1;3;100;FALSE;0;270;2;8
"161";161;120;"Davide";"Zappacosta";"Chelsea";"Defender";0;0,1;2;0;0;0;9;59;0;1;0;0;0;0;0;5;3,8;0,4;21;2,5;0;0,4;"Knock - 75% chance of playing";5;0,4;1,5;75;FALSE;0;18;2;8
"162";162;121;"Emerson";"Palmieri dos Santos";"Chelsea";"Defender";1;0,2;7;0;0;0;313;452;0;1,2;7;0;0;0;0;50;50,8;51,7;39;14,2;0,2;1,3;"";5,2;1,5;4;100;FALSE;0;300;2;8
"163";163;122;"Eden";"Hazard";"Chelsea";"Midfielder";4,8;29,2;184;13;11;9;33703;39329;2;6,3;30;2;0;0;25;670;1004,8;1121,2;1218;334,8;0,4;16,9;"";10,9;5,3;11,6;100;TRUE;6;2327;3;8
"164";164;123;"Cesc";"Fàbregas";"Chelsea";"Midfielder";0;0,3;6;0;0;0;2;31;0;1;2;1;0;0;0;36;37;58,5;14;10,9;0;1;"Signed for Monaco on a permanent deal";6,2;0;0;0;FALSE;0;175;3;8
"165";165;124;"Willian";"Borges Da Silva";"Chelsea";"Midfielder";1,8;4;93;3;6;10;1543;3978;0;3,4;21;1;0;0;3;414;485,8;983,2;669;213,9;0,3;13,1;"";7,1;2,3;5,6;100;FALSE;0;1754;3;8
"166";166;125;"Pedro";"Rodríguez Ledesma";"Chelsea";"Midfielder";3,5;4,4;100;8;1;5;6933;7510;2;4;18;1;0;0;12;388;466,6;388;625;147,7;0,5;15,6;"";6,4;4;9;100;FALSE;2;1476;3;8
"167";167;126;"N'Golo";"Kanté";"Chelsea";"Midfielder";2,3;19;99;3;4;12;6585;14205;2;3,3;33;3;0;0;3;485;580,2;670,1;322;157,4;0,5;19,8;"";5;2,8;6,6;NA;FALSE;1;2678;3;8
"168";168;127;"Ross";"Barkley";"Chelsea";"Midfielder";1;1,4;69;3;4;6;352;799;2;3;12;1;0;0;5;261;277,8;285,1;366;92,6;0,2;13,5;"";5,1;1,5;4;100;FALSE;2;1031;3;8
"169";169;128;"Daniel";"Drinkwater";"Chelsea";"Midfielder";0;0,1;0;0;0;0;10;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";4,6;0,5;2;100;FALSE;0;0;3;8
"170";170;129;"Tiemoué";"Bakayoko";"Chelsea";"Midfielder";0;0,1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Season-long loan to Milan";4,9;0;0;0;FALSE;0;0;3;8
"171";171;130;"Ethan";"Ampadu";"Chelsea";"Midfielder";0;0;0;0;0;0;16;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Back injury - 75% chance of playing";4,4;0,5;1,5;100;FALSE;0;0;3;8
"172";172;131;"Callum";"Hudson-Odoi";"Chelsea";"Midfielder";0,5;2,3;6;0;0;0;2443;1883;1;1;1;0;0;0;0;21;17;38,5;17;7;0,1;1,4;"";4,2;1;3;100;FALSE;0;119;3;8
"173";173;132;"Ruben";"Loftus-Cheek";"Chelsea";"Midfielder";1;0,4;37;3;0;1;44;151;1;2,3;5;0;0;0;3;128;181,8;124,5;170;47,6;0,2;7,1;"Knock - 75% chance of playing";5,2;1,5;3;100;FALSE;1;456;3;8
"174";174;133;"Olivier";"Giroud";"Chelsea";"Forward";0,5;1,9;44;1;4;5;526;1238;1;2,1;5;1;0;0;2;133;146,2;225,3;362;72,3;0,1;5,7;"";7,7;1;3;100;FALSE;0;681;4;8
"175";175;134;"Álvaro";"Morata";"Chelsea";"Forward";0;1,3;46;5;0;6;4;199;0;2,9;11;3;0;0;3;119;219,8;130,2;523;86,3;0;5,5;"Joined Atletico Madrid on loan until the end of the 2019/20 season";8,4;0;0;0;FALSE;1;936;4;8
"176";176;459;"Jorge Luiz";"Frello Filho";"Chelsea";"Midfielder";4;6,1;78;2;0;12;4164;3591;2;2,7;31;6;0;0;4;467;565,8;486,8;87;114,1;0,9;17;"";4,6;4,5;10;NA;FALSE;1;2463;3;8
"177";177;496;"Tammy";"Abraham";"Chelsea";"Forward";0;0,1;0;0;0;0;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Season-long loan to Aston Villa";5,4;0;0;0;FALSE;0;0;4;8
"178";178;498;"Kepa";"Arrizabalaga";"Chelsea";"Goalkeeper";4;4,9;116;0;0;11;11998;2865;11;4;33;1;0;65;7;557;545;0,1;0;54,3;0,7;21,5;"";5,4;4,5;10;NA;FALSE;2;2610;1;8
"179";179;499;"Mateo";"Kovacic";"Chelsea";"Midfielder";1,3;0,7;56;0;2;8;76;195;0;2,2;17;1;0;0;2;281;252,2;404;272;93,1;0,2;9,8;"";5,7;1,8;4,6;100;FALSE;0;1403;3;8
"180";180;579;"Gonzalo";"Higuaín";"Chelsea";"Forward";3,5;4,1;31;3;0;2;6997;28485;2;4,4;11;0;0;0;5;106;139,2;148,4;344;63,2;0,4;3,2;"";9,6;3;9;75;FALSE;1;572;4;8
"181";181;135;"Wayne";"Hennessey";"Crystal Palace";"Goalkeeper";0,8;2,7;67;0;0;5;962;1352;0;3,7;26;0;0;44;6;311;358,8;0;0;35,9;0,2;14,9;"";4,5;0;0,1;100;FALSE;1;1575;1;31
"182";182;136;"Julian";"Speroni";"Crystal Palace";"Goalkeeper";0;10,8;1;0;0;0;1792;3766;0;1;4;0;0;5;0;16;31,4;0;0;3,1;0;0,3;"";3,9;0;-1,5;100;FALSE;0;90;1;31
"183";183;137;"Vicente";"Guaita";"Crystal Palace";"Goalkeeper";1,3;1,6;42;0;0;4;2927;1383;0;3,5;11;2;0;25;2;188;156,8;0;0;15,7;0,3;10;"";4,2;0;1,1;100;FALSE;0;1034;1;31
"184";184;138;"James";"Tomkins";"Crystal Palace";"Defender";1,3;3,4;73;1;1;8;3346;1728;0;2,8;35;6;0;0;0;443;505,6;82,4;267;85,8;0,3;17;"";4,3;0;1,1;100;FALSE;0;2309;2;31
"185";185;139;"Scott";"Dann";"Crystal Palace";"Defender";0,8;0;4;0;0;0;40;15;0;1;3;1;0;0;0;27;44,4;1,1;2;4,8;0,2;0,9;"";4,4;0;0,1;100;FALSE;0;194;2;31
"186";186;140;"Martin";"Kelly";"Crystal Palace";"Defender";0;4,7;12;0;0;1;1055;1369;0;2;9;1;0;0;1;72;118,6;5,7;6;13,1;0;3,1;"";3,9;0;-1,5;100;FALSE;0;480;2;31
"187";187;141;"Jeffrey";"Schlupp";"Crystal Palace";"Defender";4;4;77;4;3;2;10820;2309;0;3;23;1;0;0;3;254;357,6;217;388;96,4;0,9;17,1;"";4,5;0;6,5;NA;FALSE;2;1369;2;31
"188";188;142;"Patrick";"van Aanholt";"Crystal Palace";"Defender";1,5;4,8;103;1;2;9;7822;3052;0;3,4;38;3;0;0;13;485;478,4;459,1;379;131,8;0,3;19,1;"";5,4;0;1,5;100;FALSE;2;2656;2;31
"189";189;143;"Mamadou";"Sakho";"Crystal Palace";"Defender";0,5;1,4;88;0;0;9;32;1731;0;3,3;35;2;0;0;13;533;540,6;78,2;47;66,6;0,1;18;"Knee injury - Unknown return date";4,9;0;0;0;FALSE;0;2416;2;31
"190";190;144;"Jairo";"Riedewald";"Crystal Palace";"Defender";0;0;0;0;0;0;10;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";4,3;0;-1,5;100;FALSE;0;0;2;31
"191";191;145;"Aaron";"Wan-Bissaka";"Crystal Palace";"Defender";1,5;26,4;90;0;2;9;25141;5480;0;3,3;35;4;1;0;14;497;663,6;212,5;131;101;0,3;20;"";4,5;0;1,5;100;FALSE;2;2414;2;31
"192";192;147;"James";"McArthur";"Crystal Palace";"Midfielder";3;3;92;2;5;9;5460;3883;0;3,1;38;6;0;0;5;365;501,6;391,7;371;126,5;0,6;19,2;"";4,8;0;4,5;NA;FALSE;1;2388;3;31
"193";193;148;"Bakary";"Sako";"Crystal Palace";"Midfielder";0;0;1;0;0;0;5;38;0;1;0;0;0;0;0;4;0;0;0;0;0;0,2;"Lack of match fitness - 75% chance of playing";4,9;0;-1,1;75;FALSE;0;1;3;31
"194";194;149;"Andros";"Townsend";"Crystal Palace";"Midfielder";2,5;3,7;104;4;4;9;6996;4278;0;3,5;39;1;0;0;5;401;568,6;793,4;499;186,3;0,4;17,9;"";5,8;0;3,5;NA;FALSE;1;2556;3;31
"195";195;150;"Luka";"Milivojevic";"Crystal Palace";"Midfielder";5,8;7,9;127;9;1;9;27244;6091;0;4,2;41;8;0;0;20;562;838,6;665,2;400;190,5;0,9;20,2;"";6,3;0;10,1;NA;FALSE;3;2700;3;31
"196";196;151;"Wilfried";"Zaha";"Crystal Palace";"Forward";6,3;13,2;101;8;5;8;4083;27803;0;3,9;37;7;1;0;12;323;554,8;563,3;952;207,1;0,9;14,6;"Hamstring injury - 75% chance of playing";6,9;0;8,3;100;FALSE;1;2321;4;31
"197";197;152;"Christian";"Benteke";"Crystal Palace";"Forward";0,8;0,4;15;0;0;2;102;81;0;1,5;8;0;0;0;0;12;18,4;66,4;253;32,6;0,1;2,4;"";6,3;0;0,1;100;FALSE;0;499;4;31
"198";198;153;"Alexander";"Sørloth";"Crystal Palace";"Forward";0;0,1;12;0;0;0;3;30;0;1;3;0;0;0;0;32;19,2;38,3;59;11,3;0;2,5;"Season-long loan to KAA Gent";4,8;0;0;0;FALSE;0;173;4;31
"199";199;412;"Cheikhou";"Kouyaté";"Crystal Palace";"Midfielder";1,8;0,2;56;0;3;8;128;85;0;2,3;24;2;0;0;0;203;262,2;193,9;172;62,6;0,4;11,9;"";4,7;0;2,1;100;FALSE;0;1542;3;31
"200";200;441;"Joel";"Ward";"Crystal Palace";"Defender";2,3;0,2;11;1;0;0;158;68;0;2,8;7;0;0;0;0;40;98;15,4;41;15,5;0,5;2,6;"";4,3;0;3,1;100;FALSE;0;281;2;31
"201";201;442;"Jaroslaw";"Jach";"Crystal Palace";"Defender";0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Season-long loan to Caykur Rizespor";4;0;0;0;FALSE;0;0;2;31
"202";202;443;"Pape";"Souaré";"Crystal Palace";"Defender";0;0,1;1;0;0;0;19;11;0;1;0;0;0;0;0;3;1;0,1;0;0,1;0;0,2;"";4,2;0;-1,5;100;FALSE;0;1;2;31
"203";203;444;"Connor";"Wickham";"Crystal Palace";"Forward";0;0,1;8;0;1;0;79;107;0;1,6;1;0;0;0;0;20;23,2;41,9;53;11,8;0;1,6;"";4,9;0;-1,5;100;FALSE;0;60;4;31
"204";204;477;"Sullay";"Kaikai";"Crystal Palace";"Midfielder";0;0,1;0;0;0;0;4;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Transferred to NAC Breda";4,3;0;0;0;FALSE;0;0;3;31
"205";205;486;"Max";"Meyer";"Crystal Palace";"Midfielder";1;0,2;50;1;3;5;61;57;0;2,2;17;3;0;0;0;180;194;265,6;368;82,6;0,2;9,1;"";5,5;0;0,5;100;FALSE;0;1095;3;31
"206";206;505;"Jordan";"Ayew";"Crystal Palace";"Forward";1;0,2;40;1;2;5;257;134;0;2,2;12;3;0;0;2;98;130,8;169,5;369;66,8;0,2;7;"";5,7;0;0,5;NA;FALSE;0;1087;4;31
"207";207;576;"Joe";"Tupper";"Crystal Palace";"Goalkeeper";0;0;0;0;0;0;33;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";4;0;-1,5;NA;FALSE;0;0;1;31
"208";208;584;"Lucas";"Perri";"Crystal Palace";"Goalkeeper";0;0;0;0;0;0;29;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";4;0;-1,5;NA;FALSE;0;0;1;31
"209";209;592;"Michy";"Batshuayi";"Crystal Palace";"Forward";4,5;1,6;23;2;1;1;10448;3658;0;3,8;5;0;0;0;2;77;93;18,6;196;30,3;0,7;3,5;"";6,5;0;7,5;100;FALSE;0;372;4;31
"210";210;154;"Jordan";"Pickford";"Everton";"Goalkeeper";7,3;12,7;127;0;0;9;7676;4499;9;4,1;42;1;0;85;12;568;692,2;10;0;70,1;1,5;25,9;"";4,9;6,8;7,3;NA;FALSE;2;2790;1;11
"211";211;155;"Maarten";"Stekelenburg";"Everton";"Goalkeeper";0;3,5;0;0;0;0;969;845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";3,9;-0,5;0;100;FALSE;0;0;1;11
"212";212;156;"Leighton";"Baines";"Everton";"Defender";0;0,5;7;0;0;0;38;44;0;1,2;6;0;0;0;0;48;48,4;91,4;15;15,4;0;1,4;"";5;-0,5;0;100;FALSE;0;374;2;11
"213";213;157;"Seamus";"Coleman";"Everton";"Defender";6,3;1,1;80;1;1;8;5071;926;8;3,5;28;1;0;0;7;389;383,2;283;176;84,1;1,2;15,4;"";5,2;5,8;6,3;100;FALSE;2;2018;2;11
"214";214;158;"Phil";"Jagielka";"Everton";"Defender";1,5;0,4;4;0;0;1;12;96;0;1,3;2;0;1;0;0;23;15,4;10,2;4;2,9;0,3;0,9;"Muscle injury - Expected back 30 Mar";4,3;0;0;0;FALSE;0;143;2;11
"215";215;159;"Ashley";"Williams";"Everton";"Defender";0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Season-long loan to Stoke";4,5;0;0;0;FALSE;0;0;2;11
"216";216;160;"Mason";"Holgate";"Everton";"Defender";0;0,1;5;0;0;0;2;15;0;1;9;1;0;0;0;61;92,2;5;2;9,9;0;1,2;"Season-long loan to West Bromwich Albion";4,3;0;0;0;FALSE;0;407;2;11
"217";217;161;"Jonjoe";"Kenny";"Everton";"Defender";0;0,2;19;0;1;1;48;95;0;1,9;15;1;0;0;0;134;166,2;102,7;12;28;0;4,5;"";4,2;-0,5;0;100;FALSE;0;789;2;11
"218";218;162;"Michael";"Keane";"Everton";"Defender";4,8;3,9;103;1;2;9;7935;4092;6;3,7;37;2;0;0;14;524;626;89,1;272;99,1;1;21,5;"";4,8;4,3;4,8;100;FALSE;3;2520;2;11
"219";219;163;"Cuco";"Martina";"Everton";"Defender";0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Season-long loan to Stoke";4,5;0;0;0;FALSE;0;0;2;11
"220";220;164;"Theo";"Walcott";"Everton";"Midfielder";1,3;2,6;83;3;3;6;140;968;1;2,8;31;1;0;0;4;228;322,4;323,3;541;118,1;0,2;13,8;"";5,9;0,8;1,3;100;FALSE;1;1916;3;11
"221";221;165;"Yannick";"Bolasie";"Everton";"Midfielder";0;0,1;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Season-long loan to Aston Villa";5,8;0;0;0;FALSE;0;0;3;11
"222";222;166;"James";"McCarthy";"Everton";"Midfielder";0;0;0;0;0;0;41;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";4,4;-0,5;0;100;FALSE;0;0;3;11
"223";223;167;"Morgan";"Schneiderlin";"Everton";"Midfielder";1,8;2;18;0;1;2;968;1364;1;1,8;7;1;0;0;0;97;96,2;101,3;14;21,2;0,4;4,3;"";4,2;1,3;1,8;100;FALSE;0;472;3;11
"224";224;168;"Idrissa";"Gueye";"Everton";"Midfielder";3,5;0,3;57;0;1;8;288;197;3;2,2;28;5;0;0;0;353;480,8;208,7;92;78,2;0,7;12,1;"";4,7;3;3,5;100;FALSE;0;2232;3;11
"225";225;169;"Tom";"Davies";"Everton";"Midfielder";0,3;0,1;24;0;0;2;13;27;1;1,7;19;3;0;0;0;123;122,2;95,4;85;30,3;0,1;4,7;"";5,1;-0,2;0,3;NA;FALSE;0;969;3;11
"226";226;170;"Ademola";"Lookman";"Everton";"Midfielder";0,5;0,1;26;0;2;1;13;80;0;1,6;7;0;0;0;0;99;118;154,6;144;41,8;0,1;5,2;"";5;0;0,5;100;FALSE;0;534;3;11
"227";227;171;"Davy";"Klaassen";"Everton";"Midfielder";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Transferred to Werder Bremen";6;0;0;0;FALSE;0;0;3;11
"228";228;172;"Gylfi";"Sigurdsson";"Everton";"Midfielder";6,8;7,1;146;12;3;10;10605;15831;6;4,7;37;3;0;0;17;535;785,8;805,5;844;243,4;0,9;20;"";7,3;6,3;6,8;100;FALSE;2;2520;3;11
"229";229;173;"Nikola";"Vlasic";"Everton";"Midfielder";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Season-long loan to CSKA Moscow";5;0;0;0;FALSE;0;0;3;11
"230";230;174;"Beni";"Baningime";"Everton";"Midfielder";0;0;0;0;0;0;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Season-long loan to Wigan Athletic";4,3;0;0;0;FALSE;0;0;3;11
